cultivo,grupo,formula_code,kc_min,kc_max,confianza
REPOLLO,horticola_hoja,KC_ANUAL_SUELO_VISIBLE,0.35,1.20,alta
ROBLE,forestal_caducifolio,KCB_GENERAL,0.10,0.80,media
TEFF,cultivo_verano,KC_ANUAL_SUELO_VISIBLE,0.25,1.10,media
TITARROS,leguminosa_grano,KC_HERBACEO_COBERTURA_RAPIDA,0.20,1.10,alta
TOMATE,horticola_fruto,KC_ANUAL_SUELO_VISIBLE,0.35,1.20,alta
TRIGO BLANDO,cereal_invierno,KC_HERBACEO_COBERTURA_RAPIDA,0.20,1.20,alta
TRIGO DURO,cereal_invierno,KC_HERBACEO_COBERTURA_RAPIDA,0.20,1.20,alta
TRITICALE,cereal_invierno,KC_HERBACEO_COBERTURA_RAPIDA,0.20,1.20,alta
VEZA,leguminosa_grano,KC_HERBACEO_COBERTURA_RAPIDA,0.20,1.15,alta
VEZA VELLOSA,leguminosa_grano,KC_HERBACEO_COBERTURA_RAPIDA,0.20,1.15,alta
VIVERO - PRODUCTOR MVR,vivero_ornamental,KC_ANUAL_SUELO_VISIBLE,0.30,1.10,baja
VIÑA,viñedo,KCB_GENERAL,0.15,0.85,media
YEROS,leguminosa_grano,KC_HERBACEO_COBERTURA_RAPIDA,0.20,1.10,alta
ZANAHORIA,horticola_raiz_bulbo,KC_ANUAL_SUELO_VISIBLE,0.35,1.15,alta
